2019-06-04 21:57:41.050	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:125	Exception at while refreshing, what=no connection to daemon
2019-06-04 21:58:01.076	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:2045	!r. THROW EXCEPTION: error::no_connection_to_daemon
2019-06-04 21:58:01.076	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:125	Exception at while refreshing, what=no connection to daemon
2019-06-04 21:58:21.092	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:2045	!r. THROW EXCEPTION: error::no_connection_to_daemon
2019-06-04 21:58:21.092	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:125	Exception at while refreshing, what=no connection to daemon
2019-06-04 21:58:41.112	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:2045	!r. THROW EXCEPTION: error::no_connection_to_daemon
2019-06-04 21:58:41.112	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:125	Exception at while refreshing, what=no connection to daemon
2019-06-04 21:59:01.129	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:2045	!r. THROW EXCEPTION: error::no_connection_to_daemon
2019-06-04 21:59:01.129	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:125	Exception at while refreshing, what=no connection to daemon
2019-06-04 21:59:21.153	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:2045	!r. THROW EXCEPTION: error::no_connection_to_daemon
2019-06-04 21:59:21.153	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:125	Exception at while refreshing, what=no connection to daemon
2019-06-04 21:59:41.176	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:2045	!r. THROW EXCEPTION: error::no_connection_to_daemon
2019-06-04 21:59:41.176	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:125	Exception at while refreshing, what=no connection to daemon
2019-06-04 22:00:01.202	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:2045	!r. THROW EXCEPTION: error::no_connection_to_daemon
2019-06-04 22:00:01.202	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:125	Exception at while refreshing, what=no connection to daemon
2019-06-04 22:00:21.219	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:2045	!r. THROW EXCEPTION: error::no_connection_to_daemon
2019-06-04 22:00:21.219	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:125	Exception at while refreshing, what=no connection to daemon
2019-06-04 22:00:41.234	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:2045	!r. THROW EXCEPTION: error::no_connection_to_daemon
2019-06-04 22:00:41.234	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:125	Exception at while refreshing, what=no connection to daemon
2019-06-04 22:01:01.262	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:2045	!r. THROW EXCEPTION: error::no_connection_to_daemon
2019-06-04 22:01:01.262	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:125	Exception at while refreshing, what=no connection to daemon
2019-06-04 22:01:21.280	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:2045	!r. THROW EXCEPTION: error::no_connection_to_daemon
2019-06-04 22:01:21.280	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:125	Exception at while refreshing, what=no connection to daemon
2019-06-04 22:01:41.299	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:2045	!r. THROW EXCEPTION: error::no_connection_to_daemon
2019-06-04 22:01:41.299	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:125	Exception at while refreshing, what=no connection to daemon
2019-06-04 22:02:01.319	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:2045	!r. THROW EXCEPTION: error::no_connection_to_daemon
2019-06-04 22:02:01.319	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:125	Exception at while refreshing, what=no connection to daemon
2019-06-04 22:02:21.340	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:2045	!r. THROW EXCEPTION: error::no_connection_to_daemon
2019-06-04 22:02:21.340	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:125	Exception at while refreshing, what=no connection to daemon
2019-06-04 22:02:41.356	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:2045	!r. THROW EXCEPTION: error::no_connection_to_daemon
2019-06-04 22:02:41.356	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:125	Exception at while refreshing, what=no connection to daemon
2019-06-04 22:03:01.376	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:2045	!r. THROW EXCEPTION: error::no_connection_to_daemon
2019-06-04 22:03:01.377	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:125	Exception at while refreshing, what=no connection to daemon
2019-06-04 22:03:21.405	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:2045	!r. THROW EXCEPTION: error::no_connection_to_daemon
2019-06-04 22:03:21.405	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:125	Exception at while refreshing, what=no connection to daemon
2019-06-04 22:03:41.424	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:2045	!r. THROW EXCEPTION: error::no_connection_to_daemon
2019-06-04 22:03:41.424	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:125	Exception at while refreshing, what=no connection to daemon
2019-06-04 22:04:01.444	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:2045	!r. THROW EXCEPTION: error::no_connection_to_daemon
2019-06-04 22:04:01.444	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:125	Exception at while refreshing, what=no connection to daemon
2019-06-04 22:04:21.460	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:2045	!r. THROW EXCEPTION: error::no_connection_to_daemon
2019-06-04 22:04:21.460	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:125	Exception at while refreshing, what=no connection to daemon
2019-06-04 22:04:41.477	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:2045	!r. THROW EXCEPTION: error::no_connection_to_daemon
2019-06-04 22:04:41.477	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:125	Exception at while refreshing, what=no connection to daemon
2019-06-04 22:05:01.497	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:2045	!r. THROW EXCEPTION: error::no_connection_to_daemon
2019-06-04 22:05:01.497	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:125	Exception at while refreshing, what=no connection to daemon
2019-06-04 22:05:21.515	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:2045	!r. THROW EXCEPTION: error::no_connection_to_daemon
2019-06-04 22:05:21.515	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:125	Exception at while refreshing, what=no connection to daemon
2019-06-04 22:05:41.531	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:2045	!r. THROW EXCEPTION: error::no_connection_to_daemon
